runtime, instance number, max population size, population size, max offspring, number of offspring, mean
3.893, 7, 32, 31, 43,42, 1.5040682779242782
3.865, 7, 32, 31, 44,43, 1.503446856266641
3.812, 7, 32, 31, 45,44, 1.5410755539831784
3.871, 7, 32, 31, 46,45, 1.5458141854689094
3.846, 7, 32, 31, 47,46, 1.5496021463730938
3.82, 7, 32, 31, 48,47, 1.5705581889463682
3.886, 7, 32, 31, 49,48, 1.5434775484542924
3.842, 7, 32, 31, 50,49, 1.519256954456559
5.464, 7, 33, 32, 1,0, 1.6237341421075393
5.231, 7, 33, 32, 2,1, 1.5605631455776616
5.068, 7, 33, 32, 3,2, 1.5270185663520972
4.853, 7, 33, 32, 4,3, 1.4979506432740795
4.793, 7, 33, 32, 5,4, 1.479828994776288
4.647, 7, 33, 32, 6,5, 1.523010951918708
4.535, 7, 33, 32, 7,6, 1.483444149572683
4.474, 7, 33, 32, 8,7, 1.4538128478065147
4.399, 7, 33, 32, 9,8, 1.49644856523461
4.339, 7, 33, 32, 10,9, 1.473239648481574
4.276, 7, 33, 32, 11,10, 1.4887454764241803
4.204, 7, 33, 32, 12,11, 1.4878773887513446
4.232, 7, 33, 32, 13,12, 1.4749544287642822
4.175, 7, 33, 32, 14,13, 1.4924043321289573
4.158, 7, 33, 32, 15,14, 1.5123934586427707
4.097, 7, 33, 32, 16,15, 1.4861361005789648
4.088, 7, 33, 32, 17,16, 1.4790051966651463
4.082, 7, 33, 32, 18,17, 1.481092885897948
4.084, 7, 33, 32, 19,18, 1.4616947462214112
4.049, 7, 33, 32, 20,19, 1.5031038180189094
4.017, 7, 33, 32, 21,20, 1.5012967217609963
4.003, 7, 33, 32, 22,21, 1.489632289210017
4.001, 7, 33, 32, 23,22, 1.5065134909924838
3.984, 7, 33, 32, 24,23, 1.5036087645748122
3.961, 7, 33, 32, 25,24, 1.495391345287086
3.948, 7, 33, 32, 26,25, 1.5046999513487511
3.907, 7, 33, 32, 27,26, 1.5039733054532123
3.953, 7, 33, 32, 28,27, 1.5157404833889834
3.906, 7, 33, 32, 29,28, 1.4948603877857642
3.896, 7, 33, 32, 30,29, 1.5023341385573628
3.918, 7, 33, 32, 31,30, 1.4917235475446038
3.898, 7, 33, 32, 32,31, 1.5146819389855044
3.904, 7, 33, 32, 33,32, 1.5109905211845183
3.909, 7, 33, 32, 34,33, 1.5021528050240867
3.855, 7, 33, 32, 35,34, 1.5193445680102327
3.913, 7, 33, 32, 36,35, 1.5328134132929463
3.904, 7, 33, 32, 37,36, 1.5184949336105056
3.843, 7, 33, 32, 38,37, 1.5122964782336494
3.903, 7, 33, 32, 39,38, 1.542235737133404
3.829, 7, 33, 32, 40,39, 1.5425701420965727
3.898, 7, 33, 32, 41,40, 1.5366630505195924
3.853, 7, 33, 32, 42,41, 1.518063859112013
3.814, 7, 33, 32, 43,42, 1.5527027079189193
3.861, 7, 33, 32, 44,43, 1.5720125339283324
3.88, 7, 33, 32, 45,44, 1.518543953965133
3.813, 7, 33, 32, 46,45, 1.5738015310527598
3.891, 7, 33, 32, 47,46, 1.5539974194404136
3.832, 7, 33, 32, 48,47, 1.556109908261654
3.892, 7, 33, 32, 49,48, 1.552041567501168
3.902, 7, 33, 32, 50,49, 1.5324627813656588
5.394, 7, 34, 33, 1,0, 1.6168720874002425
5.259, 7, 34, 33, 2,1, 1.5765484618844174
5.015, 7, 34, 33, 3,2, 1.5151521446810239
4.891, 7, 34, 33, 4,3, 1.5248968832394283
4.721, 7, 34, 33, 5,4, 1.475849712772582
4.647, 7, 34, 33, 6,5, 1.475133519444996
4.558, 7, 34, 33, 7,6, 1.482365584865296
4.506, 7, 34, 33, 8,7, 1.4764478763994386
4.438, 7, 34, 33, 9,8, 1.498830594535431
4.331, 7, 34, 33, 10,9, 1.484677365750731
4.322, 7, 34, 33, 11,10, 1.4780429880661008
4.25, 7, 34, 33, 12,11, 1.4882242467280953
4.238, 7, 34, 33, 13,12, 1.4790797264130666
4.152, 7, 34, 33, 14,13, 1.4511797347567374
4.155, 7, 34, 33, 15,14, 1.4572537281481233
4.106, 7, 34, 33, 16,15, 1.4773061220176669
4.075, 7, 34, 33, 17,16, 1.4996987204222858
4.088, 7, 34, 33, 18,17, 1.496930080680961
4.05, 7, 34, 33, 19,18, 1.4620816132755927
4.013, 7, 34, 33, 20,19, 1.516520255300213
4.031, 7, 34, 33, 21,20, 1.5551746841974337
3.985, 7, 34, 33, 22,21, 1.5022052572496434
3.995, 7, 34, 33, 23,22, 1.5355755908773057
3.956, 7, 34, 33, 24,23, 1.5187919463822213
3.947, 7, 34, 33, 25,24, 1.5187486165058195
3.963, 7, 34, 33, 26,25, 1.5273415714416139
3.927, 7, 34, 33, 27,26, 1.5111172133186483
3.925, 7, 34, 33, 28,27, 1.5178910226697764
3.916, 7, 34, 33, 29,28, 1.4898748668703292
3.931, 7, 34, 33, 30,29, 1.5330324013522851
3.901, 7, 34, 33, 31,30, 1.5299437960087992
3.897, 7, 34, 33, 32,31, 1.5293829437574717
3.902, 7, 34, 33, 33,32, 1.5038456600300472
3.889, 7, 34, 33, 34,33, 1.5344934664703263
3.887, 7, 34, 33, 35,34, 1.5218257446608061
3.874, 7, 34, 33, 36,35, 1.5242633846632834
3.906, 7, 34, 33, 37,36, 1.5259444475206172
3.906, 7, 34, 33, 38,37, 1.5231394190196392
3.867, 7, 34, 33, 39,38, 1.5146792089383831
3.878, 7, 34, 33, 40,39, 1.5398057392952211
3.831, 7, 34, 33, 41,40, 1.5419701857228771
3.869, 7, 34, 33, 42,41, 1.5347945266580099
3.879, 7, 34, 33, 43,42, 1.565117804583518
3.895, 7, 34, 33, 44,43, 1.546934107826847
3.895, 7, 34, 33, 45,44, 1.519043060335505
3.874, 7, 34, 33, 46,45, 1.5446268800529794
3.835, 7, 34, 33, 47,46, 1.5450788537337652
3.886, 7, 34, 33, 48,47, 1.5721499936808505
3.835, 7, 34, 33, 49,48, 1.5696856252947604
3.888, 7, 34, 33, 50,49, 1.5770148764811194
5.408, 7, 35, 34, 1,0, 1.6172647715433168
5.273, 7, 35, 34, 2,1, 1.5739390091748175
5.078, 7, 35, 34, 3,2, 1.5291346105361283
4.913, 7, 35, 34, 4,3, 1.5477976735032133
4.765, 7, 35, 34, 5,4, 1.512577814218408
4.666, 7, 35, 34, 6,5, 1.523049245930346
4.605, 7, 35, 34, 7,6, 1.4919357724740927
4.459, 7, 35, 34, 8,7, 1.486149901611462
4.419, 7, 35, 34, 9,8, 1.4774868740337161
4.311, 7, 35, 34, 10,9, 1.4921682226697512
4.337, 7, 35, 34, 11,10, 1.4726265693608942
4.241, 7, 35, 34, 12,11, 1.4808675654186194
4.206, 7, 35, 34, 13,12, 1.4904561249246002
4.218, 7, 35, 34, 14,13, 1.4865471168187852
4.332, 7, 35, 34, 15,14, 1.4829713273097511
4.235, 7, 35, 34, 16,15, 1.475035722457207
4.334, 7, 35, 34, 17,16, 1.4964109396996486
4.262, 7, 35, 34, 18,17, 1.4895848418172384
4.072, 7, 35, 34, 19,18, 1.4786590361310836
4.068, 7, 35, 34, 20,19, 1.4674566192940142
4.064, 7, 35, 34, 21,20, 1.4905791684881586
3.988, 7, 35, 34, 22,21, 1.4806867921399034
3.98, 7, 35, 34, 23,22, 1.500290863262531
4.024, 7, 35, 34, 24,23, 1.4932947025239742
3.977, 7, 35, 34, 25,24, 1.491797204538419
3.96, 7, 35, 34, 26,25, 1.5131825254032136
4.013, 7, 35, 34, 27,26, 1.5052058825651091
3.931, 7, 35, 34, 28,27, 1.5107262243025692
3.971, 7, 35, 34, 29,28, 1.5123887052939635
3.903, 7, 35, 34, 30,29, 1.5137338812218977
3.936, 7, 35, 34, 31,30, 1.5296830059171589
3.913, 7, 35, 34, 32,31, 1.5115359072643313
3.895, 7, 35, 34, 33,32, 1.5453354794681535
3.913, 7, 35, 34, 34,33, 1.5349484041965409
3.919, 7, 35, 34, 35,34, 1.5159935349275082
3.925, 7, 35, 34, 36,35, 1.521294196005554
3.943, 7, 35, 34, 37,36, 1.5456439347274642
3.865, 7, 35, 34, 38,37, 1.5501354486504801
3.896, 7, 35, 34, 39,38, 1.54457782699725
3.905, 7, 35, 34, 40,39, 1.5584543212968327
3.866, 7, 35, 34, 41,40, 1.5598391941142506
3.88, 7, 35, 34, 42,41, 1.5543423315335216
3.877, 7, 35, 34, 43,42, 1.572185334110726
3.857, 7, 35, 34, 44,43, 1.5654594408962335
3.9, 7, 35, 34, 45,44, 1.576140620557415
3.886, 7, 35, 34, 46,45, 1.5219724762304048
3.863, 7, 35, 34, 47,46, 1.5647012042153639
3.873, 7, 35, 34, 48,47, 1.5641208934948871
3.84, 7, 35, 34, 49,48, 1.5747029287922134
3.836, 7, 35, 34, 50,49, 1.5662837553800184
5.474, 7, 36, 35, 1,0, 1.648260237064975
5.227, 7, 36, 35, 2,1, 1.5416251471735132
5.08, 7, 36, 35, 3,2, 1.5459311597083298
4.861, 7, 36, 35, 4,3, 1.5443905495005958
4.782, 7, 36, 35, 5,4, 1.5112362483767257
4.61, 7, 36, 35, 6,5, 1.5350309813148173
4.553, 7, 36, 35, 7,6, 1.4921420788023716
4.459, 7, 36, 35, 8,7, 1.5111456600312527
4.426, 7, 36, 35, 9,8, 1.5044154344519605
4.365, 7, 36, 35, 10,9, 1.518160841096486
4.278, 7, 36, 35, 11,10, 1.4738465635670108
4.29, 7, 36, 35, 12,11, 1.4977553527257466
4.211, 7, 36, 35, 13,12, 1.4997919143468992
4.233, 7, 36, 35, 14,13, 1.4887076189360013
4.162, 7, 36, 35, 15,14, 1.4945972503657647
4.071, 7, 36, 35, 16,15, 1.5308230510626921
4.23, 7, 36, 35, 17,16, 1.4964697869919756
4.091, 7, 36, 35, 18,17, 1.476108842059586
4.079, 7, 36, 35, 19,18, 1.4863850170437733
4.034, 7, 36, 35, 20,19, 1.517229578720515
4.042, 7, 36, 35, 21,20, 1.4886820943897905
4.009, 7, 36, 35, 22,21, 1.512793625255586
3.964, 7, 36, 35, 23,22, 1.485001134832413
4.034, 7, 36, 35, 24,23, 1.539744038137917
3.958, 7, 36, 35, 25,24, 1.5119671702726134
3.953, 7, 36, 35, 26,25, 1.5135776183430498
3.978, 7, 36, 35, 27,26, 1.5314304504660048
3.95, 7, 36, 35, 28,27, 1.5389593570937146
3.962, 7, 36, 35, 29,28, 1.5495474330598298
3.923, 7, 36, 35, 30,29, 1.4958908888392641
3.919, 7, 36, 35, 31,30, 1.5215092094748506
3.94, 7, 36, 35, 32,31, 1.5178503586688399
3.914, 7, 36, 35, 33,32, 1.5505132975710745
3.886, 7, 36, 35, 34,33, 1.5405945069377915
3.892, 7, 36, 35, 35,34, 1.5359236970954595
3.914, 7, 36, 35, 36,35, 1.5504179376897091
3.862, 7, 36, 35, 37,36, 1.5591629532335314
3.942, 7, 36, 35, 38,37, 1.5470337002541386
3.88, 7, 36, 35, 39,38, 1.5442709148727858
3.951, 7, 36, 35, 40,39, 1.544885652213776
3.887, 7, 36, 35, 41,40, 1.5587499742373798
3.935, 7, 36, 35, 42,41, 1.567762528606842
3.887, 7, 36, 35, 43,42, 1.5482598695906644
3.907, 7, 36, 35, 44,43, 1.5786663237506868
4.007, 7, 36, 35, 45,44, 1.5951769772517614
3.91, 7, 36, 35, 46,45, 1.5591090174398823
3.945, 7, 36, 35, 47,46, 1.5112841442035574
3.925, 7, 36, 35, 48,47, 1.5755913579963197
3.924, 7, 36, 35, 49,48, 1.602778244408252
3.968, 7, 36, 35, 50,49, 1.5906122197082324
5.549, 7, 37, 36, 1,0, 1.6490752349139384
5.37, 7, 37, 36, 2,1, 1.5699567977358702
5.076, 7, 37, 36, 3,2, 1.5504193190712199
4.904, 7, 37, 36, 4,3, 1.5590120540514758
4.757, 7, 37, 36, 5,4, 1.5269328910939475
4.622, 7, 37, 36, 6,5, 1.4931398129045623
4.559, 7, 37, 36, 7,6, 1.5348389144721777
4.483, 7, 37, 36, 8,7, 1.532275802695449
4.396, 7, 37, 36, 9,8, 1.5022897005873783
4.35, 7, 37, 36, 10,9, 1.4843731048563007
4.295, 7, 37, 36, 11,10, 1.4888606492660192
4.261, 7, 37, 36, 12,11, 1.483903290488503
4.21, 7, 37, 36, 13,12, 1.486871594474467
4.223, 7, 37, 36, 14,13, 1.4888791671885566
4.374, 7, 37, 36, 15,14, 1.484632384322608
4.155, 7, 37, 36, 16,15, 1.4915200886082043
4.155, 7, 37, 36, 17,16, 1.503734595616968
4.06, 7, 37, 36, 18,17, 1.5141792881490277
4.069, 7, 37, 36, 19,18, 1.5141011113763583
4.054, 7, 37, 36, 20,19, 1.5064005460595529
4.148, 7, 37, 36, 21,20, 1.5056690564212745
4.054, 7, 37, 36, 22,21, 1.510606800281079
4.022, 7, 37, 36, 23,22, 1.5377223118697205
3.955, 7, 37, 36, 24,23, 1.5022421107198212
4.002, 7, 37, 36, 25,24, 1.5111010810076089
3.95, 7, 37, 36, 26,25, 1.521738135214351
3.958, 7, 37, 36, 27,26, 1.5275710509142064
3.966, 7, 37, 36, 28,27, 1.5122450580892686
3.937, 7, 37, 36, 29,28, 1.530227644166915
3.952, 7, 37, 36, 30,29, 1.5227620981914731
3.931, 7, 37, 36, 31,30, 1.5542668653991707
3.891, 7, 37, 36, 32,31, 1.5244929967748853
3.941, 7, 37, 36, 33,32, 1.5449523981714592
3.897, 7, 37, 36, 34,33, 1.5185255469874075
3.912, 7, 37, 36, 35,34, 1.5376421278462389
3.906, 7, 37, 36, 36,35, 1.5732315161341088
3.903, 7, 37, 36, 37,36, 1.5717133977213114
3.964, 7, 37, 36, 38,37, 1.5398534728346978
3.892, 7, 37, 36, 39,38, 1.554088527267434
3.933, 7, 37, 36, 40,39, 1.5442741975250978
3.919, 7, 37, 36, 41,40, 1.5742403447017934
3.878, 7, 37, 36, 42,41, 1.5853588560534513
3.891, 7, 37, 36, 43,42, 1.571921582341671
3.87, 7, 37, 36, 44,43, 1.5664043933348972
3.874, 7, 37, 36, 45,44, 1.5905245047967387
3.887, 7, 37, 36, 46,45, 1.5721359935109074
3.882, 7, 37, 36, 47,46, 1.605967976971756
3.88, 7, 37, 36, 48,47, 1.5504829242058586
3.932, 7, 37, 36, 49,48, 1.5906514413854789
3.877, 7, 37, 36, 50,49, 1.5807773601529063
5.448, 7, 38, 37, 1,0, 1.6582641531345175
5.252, 7, 38, 37, 2,1, 1.6029919076907184
5.091, 7, 38, 37, 3,2, 1.5211467628666273
4.861, 7, 38, 37, 4,3, 1.5360729218232796
4.787, 7, 38, 37, 5,4, 1.533653284171422
4.619, 7, 38, 37, 6,5, 1.5243442041649466
4.574, 7, 38, 37, 7,6, 1.5043970814093934
4.491, 7, 38, 37, 8,7, 1.496273700782289
4.381, 7, 38, 37, 9,8, 1.5039822104737977
4.355, 7, 38, 37, 10,9, 1.5085325285722646
4.304, 7, 38, 37, 11,10, 1.5145105312090785
4.279, 7, 38, 37, 12,11, 1.5093445916648822
4.203, 7, 38, 37, 13,12, 1.4961568019657823
4.163, 7, 38, 37, 14,13, 1.5112414015672129
4.21, 7, 38, 37, 15,14, 1.4981461129645899
4.153, 7, 38, 37, 16,15, 1.5037595357301845
4.109, 7, 38, 37, 17,16, 1.500791844730475
4.075, 7, 38, 37, 18,17, 1.5032610829881556
4.065, 7, 38, 37, 19,18, 1.502845767017235
4.051, 7, 38, 37, 20,19, 1.479417417176971
4.0, 7, 38, 37, 21,20, 1.5346288668105612
3.996, 7, 38, 37, 22,21, 1.51360617495076
4.015, 7, 38, 37, 23,22, 1.533203496878985
3.991, 7, 38, 37, 24,23, 1.5128668806989667
4.03, 7, 38, 37, 25,24, 1.506333743971668
3.968, 7, 38, 37, 26,25, 1.5544688873867196
3.959, 7, 38, 37, 27,26, 1.5179278465927202
3.981, 7, 38, 37, 28,27, 1.5475351161234907
3.919, 7, 38, 37, 29,28, 1.5280322768906294
3.965, 7, 38, 37, 30,29, 1.5258019562765341
3.956, 7, 38, 37, 31,30, 1.5388679216352925
3.909, 7, 38, 37, 32,31, 1.560428902637791
3.943, 7, 38, 37, 33,32, 1.543940733315882
3.91, 7, 38, 37, 34,33, 1.5558393428415367
3.922, 7, 38, 37, 35,34, 1.5683568292801726
3.92, 7, 38, 37, 36,35, 1.5496988791703217
3.901, 7, 38, 37, 37,36, 1.5817456173772422
3.924, 7, 38, 37, 38,37, 1.5796805348820087
3.873, 7, 38, 37, 39,38, 1.5467411768257806
3.892, 7, 38, 37, 40,39, 1.5539205367659057
3.963, 7, 38, 37, 41,40, 1.556825150593055
3.889, 7, 38, 37, 42,41, 1.5771785794453073
3.922, 7, 38, 37, 43,42, 1.5776145379928304
3.897, 7, 38, 37, 44,43, 1.582045744338697
3.888, 7, 38, 37, 45,44, 1.585822040965692
3.947, 7, 38, 37, 46,45, 1.593978421563358
3.89, 7, 38, 37, 47,46, 1.5738621599192961
3.877, 7, 38, 37, 48,47, 1.608753068266084
3.919, 7, 38, 37, 49,48, 1.6008537363762385
3.895, 7, 38, 37, 50,49, 1.598163923963987
5.421, 7, 39, 38, 1,0, 1.6749929555106888
5.228, 7, 39, 38, 2,1, 1.6176500513333931
5.042, 7, 39, 38, 3,2, 1.5817497268159073
4.854, 7, 39, 38, 4,3, 1.546872978285964
4.74, 7, 39, 38, 5,4, 1.521943788324942
4.651, 7, 39, 38, 6,5, 1.5230158001682474
4.553, 7, 39, 38, 7,6, 1.498632474188024
4.483, 7, 39, 38, 8,7, 1.5177395420806428
4.423, 7, 39, 38, 9,8, 1.526724756525644
4.396, 7, 39, 38, 10,9, 1.5045492699670886
4.309, 7, 39, 38, 11,10, 1.4871535542943832
4.291, 7, 39, 38, 12,11, 1.5141226075114562
4.264, 7, 39, 38, 13,12, 1.5273654278828235
4.175, 7, 39, 38, 14,13, 1.4877986406471266
4.183, 7, 39, 38, 15,14, 1.4917970229752284
4.144, 7, 39, 38, 16,15, 1.5247674141317153
4.097, 7, 39, 38, 17,16, 1.4940454295230055
4.151, 7, 39, 38, 18,17, 1.5145230992868446
4.059, 7, 39, 38, 19,18, 1.5521776027951486
4.09, 7, 39, 38, 20,19, 1.5211710537557277
4.048, 7, 39, 38, 21,20, 1.519530076023291
4.0, 7, 39, 38, 22,21, 1.5063548626869543
4.046, 7, 39, 38, 23,22, 1.5272527333354406
4.002, 7, 39, 38, 24,23, 1.5387036429050815
3.984, 7, 39, 38, 25,24, 1.5353613980926428
3.948, 7, 39, 38, 26,25, 1.5513862516104875
3.935, 7, 39, 38, 27,26, 1.5522094930255985
3.988, 7, 39, 38, 28,27, 1.5228432495569912
3.958, 7, 39, 38, 29,28, 1.5601605746781007
3.929, 7, 39, 38, 30,29, 1.5384648216372387
3.974, 7, 39, 38, 31,30, 1.543381932996946
3.925, 7, 39, 38, 32,31, 1.5329877899473883
3.939, 7, 39, 38, 33,32, 1.5362087148032078
3.943, 7, 39, 38, 34,33, 1.577260232154535
3.901, 7, 39, 38, 35,34, 1.545039086472776
3.953, 7, 39, 38, 36,35, 1.5543627546959535
3.892, 7, 39, 38, 37,36, 1.582041498580518
3.911, 7, 39, 38, 38,37, 1.5804723254282596
3.956, 7, 39, 38, 39,38, 1.559846208403592
3.941, 7, 39, 38, 40,39, 1.5647422496718655
3.896, 7, 39, 38, 41,40, 1.56906677729753
3.88, 7, 39, 38, 42,41, 1.5634511645973899
3.903, 7, 39, 38, 43,42, 1.578822735353751
3.928, 7, 39, 38, 44,43, 1.5577158715850392
3.903, 7, 39, 38, 45,44, 1.6020043280798202
3.9, 7, 39, 38, 46,45, 1.5822794340806552
3.943, 7, 39, 38, 47,46, 1.6091876155596707
3.878, 7, 39, 38, 48,47, 1.5687979023394127
3.914, 7, 39, 38, 49,48, 1.6341547881385505
3.876, 7, 39, 38, 50,49, 1.6144347744947314
5.424, 7, 40, 39, 1,0, 1.6552645309867053
5.247, 7, 40, 39, 2,1, 1.6181806934804566
5.046, 7, 40, 39, 3,2, 1.5790682365071196
4.942, 7, 40, 39, 4,3, 1.5320829167030587
4.747, 7, 40, 39, 5,4, 1.5640458072935086
4.673, 7, 40, 39, 6,5, 1.5310758991027413
4.573, 7, 40, 39, 7,6, 1.5311205160228714
4.51, 7, 40, 39, 8,7, 1.5350951450424357
4.402, 7, 40, 39, 9,8, 1.5062675301703965
4.379, 7, 40, 39, 10,9, 1.4845237220583967
4.331, 7, 40, 39, 11,10, 1.5267461943013472
4.344, 7, 40, 39, 12,11, 1.5036154858352542
4.271, 7, 40, 39, 13,12, 1.516377866160207
4.208, 7, 40, 39, 14,13, 1.5043591092336195
4.186, 7, 40, 39, 15,14, 1.514720897664969
4.137, 7, 40, 39, 16,15, 1.5012524874663882
4.096, 7, 40, 39, 17,16, 1.5597375619747484
4.142, 7, 40, 39, 18,17, 1.504142261725813
4.061, 7, 40, 39, 19,18, 1.5151831583437132
4.064, 7, 40, 39, 20,19, 1.5079126440614057
4.041, 7, 40, 39, 21,20, 1.5169630857997474
4.002, 7, 40, 39, 22,21, 1.4923516521750997
4.023, 7, 40, 39, 23,22, 1.5391239210558316
3.995, 7, 40, 39, 24,23, 1.5217026818579718
3.986, 7, 40, 39, 25,24, 1.548079935378682
3.998, 7, 40, 39, 26,25, 1.538626381477386
3.939, 7, 40, 39, 27,26, 1.5305421750416772
3.994, 7, 40, 39, 28,27, 1.5508738091659535
3.945, 7, 40, 39, 29,28, 1.5299350390355848
3.951, 7, 40, 39, 30,29, 1.5524427443766733
3.983, 7, 40, 39, 31,30, 1.548300453195941
3.932, 7, 40, 39, 32,31, 1.5665922558983607
4.034, 7, 40, 39, 33,32, 1.5499824762491556
3.965, 7, 40, 39, 34,33, 1.548928695213292
3.914, 7, 40, 39, 35,34, 1.552156920350474
3.936, 7, 40, 39, 36,35, 1.5447101509679384
3.921, 7, 40, 39, 37,36, 1.5597442177829195
3.913, 7, 40, 39, 38,37, 1.5905777681073974
3.951, 7, 40, 39, 39,38, 1.602717845873395
3.913, 7, 40, 39, 40,39, 1.5612155805326684
3.933, 7, 40, 39, 41,40, 1.594466284190144
3.97, 7, 40, 39, 42,41, 1.5751931440788722
3.886, 7, 40, 39, 43,42, 1.611380150576404
3.922, 7, 40, 39, 44,43, 1.5966816682796074
3.896, 7, 40, 39, 45,44, 1.6128422366428872
3.917, 7, 40, 39, 46,45, 1.617923837855526
4.035, 7, 40, 39, 47,46, 1.6069113216541044
4.008, 7, 40, 39, 48,47, 1.5981197970902021
3.902, 7, 40, 39, 49,48, 1.6104965923944055
3.922, 7, 40, 39, 50,49, 1.6244744923227574
5.378, 7, 41, 40, 1,0, 1.717939811976196
5.252, 7, 41, 40, 2,1, 1.5983027314097984
5.029, 7, 41, 40, 3,2, 1.5777347144670053
4.949, 7, 41, 40, 4,3, 1.551410378515143
4.728, 7, 41, 40, 5,4, 1.556184458822472
4.658, 7, 41, 40, 6,5, 1.5288127902050115
4.546, 7, 41, 40, 7,6, 1.5389412327008964
4.529, 7, 41, 40, 8,7, 1.5086044024974667
4.44, 7, 41, 40, 9,8, 1.5218357451868005
4.365, 7, 41, 40, 10,9, 1.5253389004510303
4.357, 7, 41, 40, 11,10, 1.5203234336653328
4.254, 7, 41, 40, 12,11, 1.4873652610137795
4.232, 7, 41, 40, 13,12, 1.517171877139919
4.201, 7, 41, 40, 14,13, 1.4806284596847283
4.165, 7, 41, 40, 15,14, 1.5576750256120988
4.179, 7, 41, 40, 16,15, 1.5196599414453984
4.09, 7, 41, 40, 17,16, 1.5292304776731906
4.141, 7, 41, 40, 18,17, 1.527219323212434
4.083, 7, 41, 40, 19,18, 1.5211919623613634
4.05, 7, 41, 40, 20,19, 1.5579562159962044
4.065, 7, 41, 40, 21,20, 1.5273894441298217
4.02, 7, 41, 40, 22,21, 1.5143731639619227
4.036, 7, 41, 40, 23,22, 1.551902363887428
4.026, 7, 41, 40, 24,23, 1.5519758256086484
3.977, 7, 41, 40, 25,24, 1.5432209470236238
4.034, 7, 41, 40, 26,25, 1.531294395180084
3.947, 7, 41, 40, 27,26, 1.5574687543579961
3.984, 7, 41, 40, 28,27, 1.5744175798552584
3.97, 7, 41, 40, 29,28, 1.5325370671013583
3.929, 7, 41, 40, 30,29, 1.5258837454764067
3.974, 7, 41, 40, 31,30, 1.5390446189027023
3.961, 7, 41, 40, 32,31, 1.5551028791868513
3.963, 7, 41, 40, 33,32, 1.5599346577048303
4.007, 7, 41, 40, 34,33, 1.5747522707431316
3.88, 7, 41, 40, 35,34, 1.5555000742253635
3.98, 7, 41, 40, 36,35, 1.6127778128079053
3.934, 7, 41, 40, 37,36, 1.586128980495228
3.902, 7, 41, 40, 38,37, 1.5923511977030462
3.939, 7, 41, 40, 39,38, 1.6100779913752032
3.945, 7, 41, 40, 40,39, 1.5571388868012543
3.93, 7, 41, 40, 41,40, 1.5736935739185258
3.951, 7, 41, 40, 42,41, 1.6030918028400323
3.899, 7, 41, 40, 43,42, 1.6143359211674717
3.946, 7, 41, 40, 44,43, 1.5715206525183019
3.883, 7, 41, 40, 45,44, 1.6134758295458664
3.909, 7, 41, 40, 46,45, 1.587292730899406
3.914, 7, 41, 40, 47,46, 1.6077209073757956
3.914, 7, 41, 40, 48,47, 1.6087234706240927
3.927, 7, 41, 40, 49,48, 1.6240851715154652
3.964, 7, 41, 40, 50,49, 1.6210656389393279
5.429, 7, 42, 41, 1,0, 1.6629014696065354
5.25, 7, 42, 41, 2,1, 1.590869621818244
5.04, 7, 42, 41, 3,2, 1.5828976759492912
4.935, 7, 42, 41, 4,3, 1.5457841071161633
4.775, 7, 42, 41, 5,4, 1.5372994644891858
4.702, 7, 42, 41, 6,5, 1.530463766565545
4.56, 7, 42, 41, 7,6, 1.5438108853592516
4.537, 7, 42, 41, 8,7, 1.5528355253410664
4.426, 7, 42, 41, 9,8, 1.5289033910698953
4.357, 7, 42, 41, 10,9, 1.5351164214845314
4.359, 7, 42, 41, 11,10, 1.5195658051398615
4.254, 7, 42, 41, 12,11, 1.5327009114476848
4.254, 7, 42, 41, 13,12, 1.5267829898020087
4.206, 7, 42, 41, 14,13, 1.5385734595291296
4.166, 7, 42, 41, 15,14, 1.4957685778455585
4.175, 7, 42, 41, 16,15, 1.557770619509943
4.087, 7, 42, 41, 17,16, 1.525874756466226
4.134, 7, 42, 41, 18,17, 1.5001883760347545
4.11, 7, 42, 41, 19,18, 1.5241018208483628
4.057, 7, 42, 41, 20,19, 1.532155383971592
4.089, 7, 42, 41, 21,20, 1.5425576632915754
4.018, 7, 42, 41, 22,21, 1.5723300314155026
4.038, 7, 42, 41, 23,22, 1.540836727429094
3.992, 7, 42, 41, 24,23, 1.530557092470202
3.987, 7, 42, 41, 25,24, 1.5802452226943977
4.037, 7, 42, 41, 26,25, 1.556827862084072
3.988, 7, 42, 41, 27,26, 1.569130743960855
3.956, 7, 42, 41, 28,27, 1.558606588201465
3.995, 7, 42, 41, 29,28, 1.5404739726781147
3.976, 7, 42, 41, 30,29, 1.5397082473970372
3.954, 7, 42, 41, 31,30, 1.5692417642850636
3.919, 7, 42, 41, 32,31, 1.5832067143246553
3.954, 7, 42, 41, 33,32, 1.5777550582518505
4.016, 7, 42, 41, 34,33, 1.5538690817066991
3.919, 7, 42, 41, 35,34, 1.5951602325502603
3.933, 7, 42, 41, 36,35, 1.5883562080988345
3.974, 7, 42, 41, 37,36, 1.5314455827127733
3.951, 7, 42, 41, 38,37, 1.5538136146291974
3.916, 7, 42, 41, 39,38, 1.582948882942633
3.918, 7, 42, 41, 40,39, 1.554262452720299
3.962, 7, 42, 41, 41,40, 1.591932563170982
3.975, 7, 42, 41, 42,41, 1.6367474304498255
3.951, 7, 42, 41, 43,42, 1.6049704688406226
3.933, 7, 42, 41, 44,43, 1.6136076024417985
3.915, 7, 42, 41, 45,44, 1.6089693015179711
